product_id,cost,base_price,weight_gms,importance_id
1,177,212.4,1233,1
2,216,259.2,3088,1
3,183,219.6,3374,1
4,176,211.2,1177,2
5,184,220.79999999999998,2484,2
6,162,194.4,1417,2
7,250,300.0,2371,1
8,233,279.59999999999997,2804,1
9,150,180.0,1861,1
10,164,196.79999999999998,1187,2
11,189,226.79999999999998,2888,2
12,232,278.4,3253,2
13,198,237.6,3667,2
14,275,330.0,2602,3
15,152,182.4,1009,1
16,227,272.4,2707,1
17,143,171.6,1194,2
18,227,272.4,3952,2
19,239,286.8,2495,3
20,145,174.0,1059,2
21,161,193.2,1521,2
22,232,278.4,2899,2
23,156,187.2,1750,1
24,211,253.2,3922,3
25,251,301.2,3561,2
26,225,270.0,3496,1
27,172,206.4,1066,3
28,162,194.4,1435,2
29,234,280.8,3134,1
30,183,219.6,3819,1
31,266,319.2,2741,2
32,257,308.4,3341,1
33,223,267.59999999999997,3795,1
34,234,280.8,3261,2
35,227,272.4,2460,2
36,149,178.79999999999998,1811,2
37,137,164.4,1477,3
38,181,217.2,3605,2
39,215,258.0,3905,1
40,269,322.8,2383,1
41,227,272.4,3798,1
42,139,166.79999999999998,1265,2
43,137,164.4,1647,2
44,174,208.79999999999998,1556,1
45,151,181.2,1328,1
46,210,252.0,2944,1
47,169,202.79999999999998,1245,2
48,160,192.0,1576,1
49,190,228.0,3753,2
50,216,259.2,2146,1
51,183,219.6,2042,1
52,141,169.2,1735,1
53,165,198.0,1320,1
54,170,204.0,1128,1
55,203,243.6,3539,3
56,246,295.2,2437,1
57,238,285.59999999999997,3096,1
58,193,231.6,3453,2
59,141,169.2,1367,3
60,150,180.0,1923,3
61,221,265.2,2794,1
62,179,214.79999999999998,1158,2
63,105,126.0,1292,2
64,177,212.4,1880,2
65,261,313.2,3045,3
66,202,242.39999999999998,2881,1
67,109,130.79999999999998,1710,2
68,158,189.6,1878,1
69,231,277.2,2512,2
70,206,247.2,2929,2
71,187,224.4,3849,3
72,230,276.0,2229,1
73,232,278.4,2998,2
74,215,258.0,3984,2
75,238,285.59999999999997,2442,1
76,266,319.2,3775,1
77,158,189.6,1788,2
78,113,135.6,1518,1
79,223,267.59999999999997,3959,1
80,257,308.4,3711,2
81,180,216.0,1942,2
82,132,158.4,1759,1
83,217,260.4,2875,3
84,162,194.4,1364,3
85,197,236.39999999999998,2710,2
86,197,236.39999999999998,2148,2
87,185,222.0,2910,1
88,278,333.59999999999997,2974,2
89,229,274.8,2339,1
90,186,223.2,3880,2
91,174,208.79999999999998,1085,3
92,286,343.2,3163,1
93,175,210.0,1188,2
94,219,262.8,3387,2
95,213,255.6,2343,3
96,235,282.0,2034,1
97,149,178.79999999999998,1225,2
98,271,325.2,2401,2
99,144,172.79999999999998,1104,2
100,145,174.0,1617,2
101,143,171.6,1837,2
102,227,272.4,2624,1
103,213,255.6,2732,1
104,144,172.79999999999998,1658,1
105,218,261.59999999999997,2255,1
106,144,172.79999999999998,1588,2
107,238,285.59999999999997,2624,1
108,216,259.2,2053,3
109,238,285.59999999999997,3257,3
110,141,169.2,1250,2
111,158,189.6,1284,1
112,239,286.8,3679,1
113,175,210.0,1816,1
114,263,315.59999999999997,2817,1
115,168,201.6,1616,3
116,176,211.2,1779,3
117,150,180.0,1024,3
118,265,318.0,2326,2
119,263,315.59999999999997,2947,1
120,145,174.0,1387,1
121,183,219.6,2741,1
122,205,246.0,2167,2
123,160,192.0,1714,1
124,252,302.4,2102,2
125,222,266.4,2280,1
126,203,243.6,3607,1
127,220,264.0,3516,2
128,147,176.4,1722,1
129,200,240.0,2060,2
130,224,268.8,2026,2
131,179,214.79999999999998,1364,1
132,144,172.79999999999998,1865,1
133,247,296.4,3889,1
134,280,336.0,3582,2
135,168,201.6,1829,2
136,157,188.4,1889,2
137,189,226.79999999999998,2208,2
138,162,194.4,1739,2
139,207,248.39999999999998,2399,1
140,237,284.4,3860,1
141,264,316.8,2020,3
142,149,178.79999999999998,1645,1
143,162,194.4,1462,1
144,205,246.0,2156,2
145,158,189.6,1540,2
146,248,297.59999999999997,3707,1
147,191,229.2,3750,1
148,146,175.2,1844,2
